"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_consigne_carte","correct_consigne_placer_points","correct_consignes_de_la_phase_d_apprentissage","correct_keyboard_response","correct_map","correct_mouse_response","correct_response","count_Consigne_de_la_phase_test","count_Feedback","count_General_loop","count_Lieu_1","count_SOA","count_attribution_valeurs","count_blank","count_blank_map","count_bye","count_consigne","count_consigne_carte","count_consigne_placer_points","count_consignes_de_la_phase_d_apprentissage","count_experiment","count_fixation_dot","count_general_sequence","count_initialisation_nbr_correct","count_initialisation_variable","count_keyboard_response","count_lieu_2","count_logger","count_loop_learning","count_loop_test","count_map","count_mouse_response","count_new_sampler","count_nombre_de_clics_corrects","count_reset_acc","count_response_sketchpad","count_sequence","count_sequence_test","count_test_loop","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","distance","drapeau","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","landmark","lieu_1","lieu_2","live_row","live_row_General_loop","live_row_loop_learning","live_row_loop_test","logfile","mouse_backend","nombre_correct","nondrapeau","opensesame_codename","opensesame_version","paire","repeat_cycle","response","response_Consigne_de_la_phase_test","response_Feedback","response_consigne_carte","response_consigne_placer_points","response_consignes_de_la_phase_d_apprentissage","response_keyboard_response","response_map","response_mouse_response","response_time","response_time_Consigne_de_la_phase_test","response_time_Feedback","response_time_consigne_carte","response_time_consigne_placer_points","response_time_consignes_de_la_phase_d_apprentissage","response_time_keyboard_response","response_time_map","response_time_mouse_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Consigne_de_la_phase_test","time_Feedback","time_General_loop","time_Lieu_1","time_SOA","time_attribution_valeurs","time_blank","time_blank_map","time_bye","time_consigne","time_consigne_carte","time_consigne_placer_points","time_consignes_de_la_phase_d_apprentissage","time_experiment","time_fixation_dot","time_general_sequence","time_initialisation_nbr_correct","time_initialisation_variable","time_keyboard_response","time_lieu_2","time_logger","time_loop_learning","time_loop_test","time_map","time_mouse_response","time_new_sampler","time_nombre_de_clics_corrects","time_reset_acc","time_response_sketchpad","time_sequence","time_sequence_test","time_test_loop","title","total_correct","total_response_time","total_responses","type","uniform_coordinates","width","x","y"
"undefined","undefined","22611","22611","#ffffff","legacy","legacy","legacy","0","uniform","0","undefined","undefined","undefined","NA","undefined","undefined","NA","0","NA","0","NA","NA","0","NA","0","0","0","0","0","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","0","0","NA","0","NA","0","stim0","35.0","-7.0","Mon Dec 11 11:07:52 2023","The main experiment item","False","NA","False","","kosslyn_1978.osexp","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH","False","mono","False","18","no","#000000","no","no","768","legacy","puits","NA","NA","0","0","0","0","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH\quickrun.csv","legacy","0","False","Melodramatic Milgram","4.0.5","NA","0","1","NA","NA","k","k","k","NA","k","1","22611.0","NA","NA","64158","110183","136498","NA","17215","22611","2","legacy","1024","2","48000","-16","experiment","999","odd","NA","NA","138310","NA","NA","NA","NA","333864","NA","330356","138346","219940","1810","1807","NA","138345","138345","1809","NA","NA","356501","202504","330125","202723","333865","332356","356501","NA","NA","330355","NA","NA","kosslyn_1978","0","22611.0","1","NA","yes","1024","-260","180"
"undefined","undefined","36855","36855","#ffffff","legacy","legacy","legacy","0","uniform","0","undefined","undefined","undefined","NA","undefined","undefined","NA","0","NA","0","NA","NA","0","NA","1","0","1","0","0","0","0","NA","0","0","0","NA","NA","1","0","0","0","1","1","1","0","NA","1","NA","0","stim0","-235.0","187.0","Mon Dec 11 11:07:52 2023","The main experiment item","False","NA","False","","kosslyn_1978.osexp","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH","False","mono","False","18","no","#000000","no","no","768","legacy","rocher","NA","NA","1","0","0","1","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH\quickrun.csv","legacy","0","False","Melodramatic Milgram","4.0.5","NA","0","1","NA","NA","k","k","k","NA","k","1","51099.0","NA","NA","64158","110183","136498","NA","17215","51099","2","legacy","1024","2","48000","-16","experiment","999","odd","NA","NA","138310","NA","NA","NA","NA","360345","NA","356754","138346","219940","1810","1807","NA","138345","138345","1809","NA","NA","411445","202504","330125","202723","360345","358754","411445","NA","NA","356753","NA","NA","kosslyn_1978","0","73710.0","2","NA","yes","1024","-9","-326"
"undefined","undefined","25441","25441","#ffffff","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","NA","undefined","undefined","NA","0","NA","0","NA","NA","0","NA","2","0","2","0","0","0","0","NA","0","0","0","NA","NA","2","0","0","0","2","2","2","0","NA","2","NA","0","stim0","153.0","281.0","Mon Dec 11 11:07:52 2023","The main experiment item","False","NA","False","","kosslyn_1978.osexp","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH","False","mono","False","18","no","#000000","no","no","768","legacy","sable","NA","NA","2","0","0","2","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH\quickrun.csv","legacy","1","False","Melodramatic Milgram","4.0.5","NA","0","1","NA","NA","k","k","k","NA","k","1","2613.0","NA","NA","64158","110183","136498","NA","17215","2613","2","legacy","1024","2","48000","-16","experiment","999","odd","NA","NA","138310","NA","NA","NA","NA","415405","NA","411688","138346","219940","1810","1807","NA","138345","138345","1809","NA","NA","418020","202504","330125","202723","415405","413688","418020","NA","NA","411687","NA","NA","kosslyn_1978","0","76323.0","3","NA","yes","1024","155","285"
"undefined","undefined","19624","19624","#ffffff","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","NA","undefined","undefined","NA","0","NA","0","NA","NA","0","NA","3","0","3","0","0","0","0","NA","0","0","0","NA","NA","3","0","0","0","3","3","3","0","NA","3","NA","0","stim0","-53.0","214.0","Mon Dec 11 11:07:52 2023","The main experiment item","False","NA","False","","kosslyn_1978.osexp","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH","False","mono","False","18","no","#000000","no","no","768","legacy","lac","NA","NA","3","0","0","3","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH\quickrun.csv","legacy","2","False","Melodramatic Milgram","4.0.5","NA","0","1","NA","NA","k","k","k","NA","k","1","2176.0","NA","NA","64158","110183","136498","NA","17215","2176","2","legacy","1024","2","48000","-16","experiment","999","odd","NA","NA","138310","NA","NA","NA","NA","421785","NA","418234","138346","219940","1810","1807","NA","138345","138345","1809","NA","NA","423964","202504","330125","202723","421785","420234","423964","NA","NA","418233","NA","NA","kosslyn_1978","0","78499.0","4","NA","yes","1024","-50","180"
"undefined","undefined","15950","15950","#ffffff","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","NA","undefined","undefined","NA","0","NA","0","NA","NA","0","NA","4","0","4","0","0","0","0","NA","0","0","0","NA","NA","4","0","0","0","4","4","4","0","NA","4","NA","0","stim0","-178.0","221.0","Mon Dec 11 11:07:52 2023","The main experiment item","False","NA","False","","kosslyn_1978.osexp","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH","False","mono","False","18","no","#000000","no","no","768","legacy","hutte","NA","NA","4","0","0","4","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH\quickrun.csv","legacy","3","False","Melodramatic Milgram","4.0.5","NA","0","1","NA","NA","k","k","k","NA","k","1","1254.0","NA","NA","64158","110183","136498","NA","17215","1254","2","legacy","1024","2","48000","-16","experiment","999","odd","NA","NA","138310","NA","NA","NA","NA","427774","NA","424191","138346","219940","1810","1807","NA","138345","138345","1809","NA","NA","429037","202504","330125","202723","427774","426191","429037","NA","NA","424190","NA","NA","kosslyn_1978","0","79753.0","5","NA","yes","1024","-190","264"
"undefined","undefined","13539","13539","#ffffff","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","NA","undefined","undefined","NA","0","NA","0","NA","NA","0","NA","5","0","5","0","0","0","0","NA","0","0","0","NA","NA","5","0","0","0","5","5","5","0","NA","5","NA","0","stim0","-85.0","143.0","Mon Dec 11 11:07:52 2023","The main experiment item","False","NA","False","","kosslyn_1978.osexp","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH","False","mono","False","18","no","#000000","no","no","768","legacy","arbre","NA","NA","5","0","0","5","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH\quickrun.csv","legacy","4","False","Melodramatic Milgram","4.0.5","NA","0","1","NA","NA","k","k","k","NA","k","1","1484.0","NA","NA","64158","110183","136498","NA","17215","1484","2","legacy","1024","2","48000","-16","experiment","999","odd","NA","NA","138310","NA","NA","NA","NA","432574","NA","429265","138346","219940","1810","1807","NA","138345","138345","1809","NA","NA","434060","202504","330125","202723","432574","431265","434060","NA","NA","429264","NA","NA","kosslyn_1978","0","81237.0","6","NA","yes","1024","-115","165"
"undefined","undefined","11792","11792","#ffffff","legacy","legacy","legacy","0","uniform","0","undefined","undefined","undefined","NA","undefined","undefined","NA","0","NA","0","NA","NA","0","NA","6","0","6","0","0","0","0","NA","0","0","0","NA","NA","6","0","0","0","6","6","6","0","NA","6","NA","0","stim0","-95.0","-3.0","Mon Dec 11 11:07:52 2023","The main experiment item","False","NA","False","","kosslyn_1978.osexp","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH","False","mono","False","18","no","#000000","no","no","768","legacy","herbe","NA","NA","6","0","0","6","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH\quickrun.csv","legacy","4","False","Melodramatic Milgram","4.0.5","NA","0","1","NA","NA","k","k","k","NA","k","1","1307.0","NA","NA","64158","110183","136498","NA","17215","1307","2","legacy","1024","2","48000","-16","experiment","999","odd","NA","NA","138310","NA","NA","NA","NA","437764","NA","434277","138346","219940","1810","1807","NA","138345","138345","1809","NA","NA","439073","202504","330125","202723","437764","436277","439073","NA","NA","434276","NA","NA","kosslyn_1978","0","82544.0","7","NA","yes","1024","-180","-104"
"undefined","undefined","3020","3020","#ffffff","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","NA","undefined","undefined","NA","0","0","0","NA","NA","1","NA","7","0","7","1","1","0","0","NA","1","1","0","NA","NA","7","1","1","1","7","7","7","1","NA","7","NA","0","stim0","-8.0","-325.0","Mon Dec 11 11:07:52 2023","The main experiment item","False","NA","False","","kosslyn_1978.osexp","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH","False","mono","False","18","no","#000000","no","no","768","legacy","rocher","NA","NA","0","1","0","0","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH\quickrun.csv","legacy","1","False","Melodramatic Milgram","4.0.5","NA","0","1","NA","l","h","j","k","NA","j","1","3020.0","NA","59439","12266","14377","136498","NA","49022","3020","2","legacy","1024","2","48000","-16","experiment","999","odd","NA","439089","138310","NA","NA","439076","NA","578244","NA","574658","498557","560064","1810","1807","NA","498556","498556","1809","NA","NA","581266","510824","574442","511040","578244","576658","581266","NA","NA","574657","NA","NA","kosslyn_1978","0","3020.0","1","NA","yes","1024","-9","-326"
"undefined","undefined","2856","2856","#ffffff","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","NA","undefined","undefined","NA","0","0","0","NA","NA","1","NA","8","0","8","1","1","0","0","NA","1","1","0","NA","NA","8","1","1","1","8","8","8","1","NA","8","NA","0","stim0","-115.0","174.0","Mon Dec 11 11:07:52 2023","The main experiment item","False","NA","False","","kosslyn_1978.osexp","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH","False","mono","False","18","no","#000000","no","no","768","legacy","arbre","NA","NA","1","1","0","1","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH\quickrun.csv","legacy","2","False","Melodramatic Milgram","4.0.5","NA","0","1","NA","l","h","j","k","NA","j","1","2692.0","NA","59439","12266","14377","136498","NA","49022","2692","2","legacy","1024","2","48000","-16","experiment","999","odd","NA","439089","138310","NA","NA","439076","NA","584814","NA","581507","498557","560064","1810","1807","NA","498556","498556","1809","NA","NA","587508","510824","574442","511040","584814","583507","587508","NA","NA","581507","NA","NA","kosslyn_1978","0","5712.0","2","NA","yes","1024","-115","165"
"undefined","undefined","2589","2589","#ffffff","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","NA","undefined","undefined","NA","0","0","0","NA","NA","1","NA","9","0","9","1","1","0","0","NA","1","1","0","NA","NA","9","1","1","1","9","9","9","1","NA","9","NA","0","stim0","-190.0","261.0","Mon Dec 11 11:07:52 2023","The main experiment item","False","NA","False","","kosslyn_1978.osexp","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH","False","mono","False","18","no","#000000","no","no","768","legacy","hutte","NA","NA","2","1","0","2","C:/Users/Chamss-Eddine/Documents/schooling/L3/s5/ing/GH\quickrun.csv","legacy","3","False","Melodramatic Milgram","4.0.5","NA","0","1","NA","l","h","j","k","NA","j","1","2056.0","NA","59439","12266","14377","136498","NA","49022","2056","2","legacy","1024","2","48000","-16","experiment","999","odd","NA","439089","138310","NA","NA","439076","NA","591334","NA","587746","498557","560064","1810","1807","NA","498556","498556","1809","NA","NA","593392","510824","574442","511040","591334","589746","593392","NA","NA","587746","NA","NA","kosslyn_1978","0","7768.0","3","NA","yes","1024","-190","264"
